"site_key","latitude","longitude","site_id"
"60.40000000_-112.76000000",60.4,-112.76,"60.40000000_-112.76000000"
"60.63333300_89.73333300",60.633333,89.733333,"60.63333300_89.73333300"
"60.78333300_-115.76666700",60.783333,-115.766667,"60.78333300_-115.76666700"
"61.32000000_-135.60000000",61.32,-135.6,"61.32000000_-135.60000000"
"62.12000000_-135.28000000",62.12,-135.28,"62.12000000_-135.28000000"
"62.41666700_-114.41666700",62.416667,-114.416667,"62.41666700_-114.41666700"
"62.55000000_-113.33333300",62.55,-113.333333,"62.55000000_-113.33333300"
"62.85000000_-145.02000000",62.85,-145.02,"62.85000000_-145.02000000"
"63.72000000_-142.84000000",63.72,-142.84,"63.72000000_-142.84000000"
"63.72000000_-148.97000000",63.72,-148.97,"63.72000000_-148.97000000"
"63.83000000_-145.67000000",63.83,-145.67,"63.83000000_-145.67000000"
